pid,name,user,cpu_percent,memory_mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,System Idle Process,NT AUTHORITY\SYSTEM,1108.4,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100,ctfmon.exe,DESKTOP-4B1OM9L\Gaming,0,60.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11256,svchost.exe,N/A,0,13.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11344,svchost.exe,N/A,0,16.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11604,svchost.exe,N/A,0,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11636,svchost.exe,N/A,0,24.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11672,Code.exe,DESKTOP-4B1OM9L\Gaming,0,115.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11748,RuntimeBroker.exe,DESKTOP-4B1OM9L\Gaming,0,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11988,cmd.exe,DESKTOP-4B1OM9L\Gaming,0,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12012,svchost.exe,N/A,0,33.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12148,LenovoVantage-(VantageCoreAddin).exe,N/A,0,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12344,explorer.exe,DESKTOP-4B1OM9L\Gaming,0,244.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12364,LenovoVantage-(LenovoGamingSystemAddin).exe,N/A,0,11.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12700,unsecapp.exe,N/A,0,12.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12708,msedgewebview2.exe,DESKTOP-4B1OM9L\Gaming,0,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12756,vrlsupervisor.exe,DESKTOP-4B1OM9L\Gaming,0,14.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12760,QSHelper.exe,DESKTOP-4B1OM9L\Gaming,0,26.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12952,msedgewebview2.exe,DESKTOP-4B1OM9L\Gaming,0,12.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12976,svchost.exe,N/A,0,10.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13020,NisSrv.exe,N/A,0,34.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13352,RuntimeBroker.exe,DESKTOP-4B1OM9L\Gaming,0,51.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13416,SecurityHealthSystray.exe,DESKTOP-4B1OM9L\Gaming,0,13.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13436,SecurityHealthService.exe,N/A,0,25.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13480,ula.exe,DESKTOP-4B1OM9L\Gaming,0,33.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13688,RtkAudUService64.exe,DESKTOP-4B1OM9L\Gaming,0,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13768,conhost.exe,DESKTOP-4B1OM9L\Gaming,0,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14176,steamwebhelper.exe,DESKTOP-4B1OM9L\Gaming,0,16.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14308,svchost.exe,N/A,0,34.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14400,msedge.exe,DESKTOP-4B1OM9L\Gaming,0,81.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14492,svchost.exe,N/A,0,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
